trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.2, 'e': 0.50622025723277841}",20,13,-1.9792474650557415,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.49757104789172696}",25,0,-28.08643587745167,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.4888720818605275}",30,16,10.655300043948841,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.48012422902853408}",20,0,-33.08634762223049,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.47132836417373997}",25,0,7.093612467269311,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.46248536687530079}",20,5,18.885457337832527,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.45359612142557731}",20,2,-94.25500924919302,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
112,False,"{'a': 0.2, 'e': 0.44466151674170679}",20,10,-2.062779762548561,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.4356824462767121}",20,8,-14.959561359759116,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.42665980793015723}",30,0,-114.29534406020774,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.41759450395835795}",25,1,20.37502211832363,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.40848744088415717}",20,0,-33.90473338653017,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.2, 'e': 0.39933952940627321}",25,15,9.900527121981252,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.39015168430823027}",20,0,-15.875904561042933,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
